message_id,user_id,timestamp,channel,sender,message_text,is_phishing,hour,day_of_week
M0000060,U00001,2026-03-05T17:47:59+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,17,3
M0000062,U00001,2026-03-09T07:41:54+01:00,SMS,Card-Verify,Card verification required. Confirm now to avoid lock: https://verify-card.example,1,7,0
M0000067,U00001,2026-03-12T16:44:20+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,16,3
M0000019,U00001,2026-03-13T12:45:26+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,12,4
M0000066,U00001,2026-03-16T12:28:59+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,12,0
M0000010,U00001,2026-03-21T10:18:27+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,10,5
M0000029,U00001,2026-03-23T10:31:13+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,10,0
M0000008,U00001,2026-03-23T12:13:07+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,12,0
M0000037,U00001,2026-03-24T06:43:36+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,6,1
M0000048,U00001,2026-03-25T12:05:18+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,12,2
M0000012,U00001,2026-03-25T15:15:08+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,15,2
M0000031,U00001,2026-03-30T17:36:26+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,17,0
M0000054,U00001,2026-03-30T18:10:42+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,18,0
M0000082,U00002,2026-01-01T13:59:27+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,13,3
M0000090,U00002,2026-01-04T13:02:48+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,13,6
M0000086,U00002,2026-01-05T11:44:06+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,11,0
M0000075,U00002,2026-01-08T09:22:27+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,9,3
M0000089,U00002,2026-01-09T14:33:37+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,4
M0000080,U00002,2026-01-10T12:26:44+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,12,5
M0000074,U00002,2026-01-16T10:51:15+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,10,4
M0000101,U00002,2026-01-18T12:58:09+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,12,6
M0000077,U00002,2026-01-21T08:01:54+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,8,2
M0000100,U00002,2026-01-22T16:21:27+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,16,3
M0000078,U00002,2026-01-25T11:32:28+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,11,6
M0000088,U00002,2026-01-25T12:47:42+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,12,6
M0000085,U00002,2026-01-27T21:17:39+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,21,1
M0000079,U00002,2026-01-29T13:02:28+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,13,3
M0000091,U00002,2026-01-31T10:39:20+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,10,5
M0000097,U00002,2026-02-02T08:52:20+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,8,0
M0000099,U00002,2026-02-07T14:44:54+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,14,5
M0000092,U00002,2026-02-08T10:51:30+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,10,6
M0000094,U00002,2026-02-14T06:24:38+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,6,5
M0000076,U00002,2026-02-19T09:01:50+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,9,3
M0000072,U00002,2026-02-20T15:03:44+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,15,4
M0000081,U00002,2026-02-26T05:55:08+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,5,3
M0000087,U00002,2026-03-03T13:35:54+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,13,1
M0000102,U00002,2026-03-03T19:15:53+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,19,1
M0000083,U00002,2026-03-04T15:22:07+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,15,2
M0000073,U00002,2026-03-05T07:23:59+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,7,3
M0000095,U00002,2026-03-12T14:20:32+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,3
M0000084,U00002,2026-03-21T16:19:33+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,16,5
M0000093,U00002,2026-03-22T07:05:50+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,7,6
M0000098,U00002,2026-03-24T14:11:44+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,14,1
M0000096,U00002,2026-03-30T12:56:31+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,12,0
M0000144,U00003,2026-01-01T15:24:43+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,15,3
M0000172,U00003,2026-01-04T14:17:33+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,14,6
M0000132,U00003,2026-01-06T15:27:28+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,15,1
M0000130,U00003,2026-01-06T19:44:52+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,19,1
M0000111,U00003,2026-01-07T10:24:28+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,10,2
M0000136,U00003,2026-01-07T11:09:05+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,11,2
M0000143,U00003,2026-01-11T09:51:10+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,9,6
M0000107,U00003,2026-01-12T14:23:58+01:00,SMS,Card-Verify,Card verification required. Confirm now to avoid lock: https://verify-card.example,1,14,0
M0000114,U00003,2026-01-13T14:04:32+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,1
M0000155,U00003,2026-01-18T12:40:29+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,12,6
M0000159,U00003,2026-01-20T18:48:11+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,18,1
M0000158,U00003,2026-01-21T14:00:52+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,14,2
M0000141,U00003,2026-01-22T12:22:30+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,12,3
M0000138,U00003,2026-01-22T20:27:06+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,20,3
M0000160,U00003,2026-01-24T11:23:59+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,11,5
M0000171,U00003,2026-01-25T19:10:36+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,19,6
M0000104,U00003,2026-01-26T14:37:05+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,14,0
M0000166,U00003,2026-01-26T16:41:15+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,16,0
M0000177,U00003,2026-01-28T13:07:01+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,13,2
M0000161,U00003,2026-01-28T14:28:36+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,2
M0000148,U00003,2026-01-28T14:50:13+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,14,2
M0000110,U00003,2026-01-29T18:20:30+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,18,3
M0000131,U00003,2026-01-30T20:51:53+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,20,4
M0000133,U00003,2026-02-01T10:42:08+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,10,6
M0000146,U00003,2026-02-01T11:43:48+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,11,6
M0000178,U00003,2026-02-01T13:37:17+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,13,6
M0000147,U00003,2026-02-01T15:04:50+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,15,6
M0000149,U00003,2026-02-01T15:18:35+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,15,6
M0000174,U00003,2026-02-02T16:01:43+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,16,0
M0000169,U00003,2026-02-03T15:12:29+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,15,1
M0000108,U00003,2026-02-04T11:37:26+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,11,2
M0000115,U00003,2026-02-07T15:25:42+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,15,5
M0000106,U00003,2026-02-09T10:10:09+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,10,0
M0000120,U00003,2026-02-10T09:32:29+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,9,1
M0000116,U00003,2026-02-10T09:35:42+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,9,1
M0000118,U00003,2026-02-11T13:50:10+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,13,2
M0000154,U00003,2026-02-11T14:28:17+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,14,2
M0000162,U00003,2026-02-12T11:17:33+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,11,3
M0000124,U00003,2026-02-13T08:52:24+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,8,4
M0000142,U00003,2026-02-14T11:22:22+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,11,5
M0000164,U00003,2026-02-15T11:33:57+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,11,6
M0000129,U00003,2026-02-15T19:00:33+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,19,6
M0000127,U00003,2026-02-16T09:49:28+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,9,0
M0000163,U00003,2026-02-16T12:17:29+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,12,0
M0000145,U00003,2026-02-18T15:19:01+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,15,2
M0000176,U00003,2026-02-21T10:32:39+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,10,5
M0000139,U00003,2026-02-22T15:26:46+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,15,6
M0000109,U00003,2026-02-24T14:36:43+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,14,1
M0000168,U00003,2026-02-27T17:15:20+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,17,4
M0000150,U00003,2026-02-28T12:25:22+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,12,5
M0000121,U00003,2026-03-01T18:09:39+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,18,6
M0000152,U00003,2026-03-03T12:26:44+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,12,1
M0000112,U00003,2026-03-03T14:37:24+01:00,SMS,Card-Verify,Card verification required. Confirm now to avoid lock: https://verify-card.example,1,14,1
M0000156,U00003,2026-03-06T15:09:03+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,15,4
M0000175,U00003,2026-03-06T23:56:28+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,23,4
M0000113,U00003,2026-03-07T06:50:37+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,6,5
M0000122,U00003,2026-03-10T13:15:29+01:00,SMS,Card-Verify,Card verification required. Confirm now to avoid lock: https://verify-card.example,1,13,1
M0000125,U00003,2026-03-11T06:44:26+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,6,2
M0000123,U00003,2026-03-11T11:33:50+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,11,2
M0000151,U00003,2026-03-11T13:52:49+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,13,2
M0000134,U00003,2026-03-13T08:53:01+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,8,4
M0000103,U00003,2026-03-16T17:24:03+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,17,0
M0000128,U00003,2026-03-16T21:39:04+01:00,SMS,Delivery-Notice,Your parcel is held due to unpaid customs fee. Pay now: https://track-fee.example,1,21,0
M0000137,U00003,2026-03-19T13:18:00+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,13,3
M0000117,U00003,2026-03-20T14:23:26+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,14,4
M0000157,U00003,2026-03-21T13:04:06+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,13,5
M0000105,U00003,2026-03-21T15:26:13+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,15,5
M0000140,U00003,2026-03-24T09:04:48+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,9,1
M0000126,U00003,2026-03-24T14:09:46+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,14,1
M0000119,U00003,2026-03-24T16:54:43+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,16,1
M0000170,U00003,2026-03-25T12:22:37+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,12,2
M0000167,U00003,2026-03-25T15:20:34+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,15,2
M0000153,U00003,2026-03-28T06:47:55+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,6,5
M0000135,U00003,2026-03-30T14:32:33+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,14,0
M0000165,U00003,2026-03-30T16:54:03+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,16,0
M0000173,U00003,2026-03-31T12:34:18+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,12,1
M0010763,U00004,2026-01-01T14:35:53+01:00,SMS,Bank Alerts,"Info: You made a card payment of 1562.71 EUR at TechWorld Online. If correct, no action needed.",0,14,3
M0000181,U00004,2026-01-03T12:52:05+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,12,5
M0000182,U00004,2026-01-09T11:28:53+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,11,4
M0000191,U00004,2026-01-11T18:10:48+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,18,6
M0000201,U00004,2026-01-13T12:43:50+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,12,1
M0000183,U00004,2026-01-19T09:31:51+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,9,0
M0000179,U00004,2026-01-19T17:13:23+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,17,0
M0000193,U00004,2026-02-10T14:48:50+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,14,1
M0000190,U00004,2026-02-17T17:22:39+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,17,1
M0000199,U00004,2026-02-18T13:33:44+01:00,Email,IT-Support,Password expires today. Re-authenticate here: https://sso-reset.example,1,13,2
M0000185,U00004,2026-02-20T19:09:48+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,19,4
M0000184,U00004,2026-02-21T15:14:28+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,15,5
M0000192,U00004,2026-02-26T05:16:16+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,5,3
M0000187,U00004,2026-02-26T11:55:13+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,11,3
M0000188,U00004,2026-02-27T12:26:24+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,12,4
M0000198,U00004,2026-02-28T15:12:33+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,15,5
M0000194,U00004,2026-03-02T11:56:11+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,11,0
M0000180,U00004,2026-03-03T15:13:40+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,15,1
M0000197,U00004,2026-03-20T12:28:03+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,12,4
M0000196,U00004,2026-03-21T11:31:10+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,11,5
M0000200,U00004,2026-03-22T17:17:49+01:00,SMS,Card-Verify,Card verification required. Confirm now to avoid lock: https://verify-card.example,1,17,6
M0000195,U00004,2026-03-24T16:33:41+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,16,1
M0000186,U00004,2026-03-29T16:29:35+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,16,6
M0000189,U00004,2026-03-31T13:41:30+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,13,1
M0000226,U00005,2026-01-01T18:36:27+01:00,Email,TravelDeals,Weekend deals: Save on hotels in Europe.,0,18,3
M0000252,U00005,2026-01-02T09:42:26+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,9,4
M0000259,U00005,2026-01-02T11:51:18+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,11,4
M0000206,U00005,2026-01-03T17:41:46+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,17,5
M0000257,U00005,2026-01-05T17:35:46+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,17,0
M0000250,U00005,2026-01-07T13:50:34+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,13,2
M0000211,U00005,2026-01-08T14:27:20+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,14,3
M0000236,U00005,2026-01-09T10:54:15+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,10,4
M0000241,U00005,2026-01-09T12:14:36+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,12,4
M0000219,U00005,2026-01-10T19:04:42+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,19,5
M0000230,U00005,2026-01-12T08:15:26+01:00,SMS,Bank-Security,"Unusual activity detected. To keep your account active, verify at https://bank-secure-check.example",1,8,0
M0000227,U00005,2026-01-13T06:08:02+01:00,SMS,Bank Alerts,Your account statement is ready in the app.,0,6,1
M0000242,U00005,2026-01-15T09:02:35+01:00,SMS,Bank Alerts,Reminder: Update your app to the latest version for improved security.,0,9,3
M0000244,U00005,2026-01-15T20:20:18+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,20,3
M0000248,U00005,2026-01-16T11:26:24+01:00,Email,CampusEvents,Student event: Networking meetup next Thursday.,0,11,4
M0000228,U00005,2026-01-19T06:15:27+01:00,SMS,ShopPromo,Flash sale today: 20% off selected items. Unsubscribe: STOP,0,6,0
M0000254,U00005,2026-01-19T12:53:06+01:00,SMS,Bank Alerts,Security tip: Never share your one-time codes.,0,12,0
